,id_ocorrencia,conduta,natureza_lesao,tipo_crime,uf,municipio,endereco,logradouro_sede,geolocalizacao,latitude,longitude
160,245,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Piracicaba,Rodovia Geraldo de Barros,Rodovia Geraldo de Barros - SP-304,0101000020E6100000B823F7CF2ED547C0446F4CAA11B136C0,-22.6916758,-47.6654911
161,250,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,São José dos Campos,,São José dos Campos,0101000020E6100000AAEE3614EBFA46C04C1DE4F5602737C0,-23.153823250000002,-45.960299040625
162,251,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,Piratininga,,,0101000020E6100000C14FC1864C9148C03EF08C11E46936C0,-22.4136363,-49.1351479
163,252,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Cotia,,,0101000020E6100000BBD39D279E7547C0056A3178989A37C0,-23.603889,-46.918889
164,257,Operação policial,Crimes contra a vida (CP),Homicídio qualificado,SÃO PAULO,Carapicuíba,Rodoanel Mário Covas,Rodoanel Mário Covas,0101000020E61000004ACBED03356147C0B8DFEBB5EA6E37C0,-23.4332689,-46.7594304
165,260,Abordagem policial,Crimes contra a vida (CP),Homicídio simples,SÃO PAULO,São Paulo,Zona Norte,Zona Norte,0101000020E61000009F443AF2F64747C0B2E20ADE467937C0,-23.4737376,-46.5622237
166,262,Atuação do Poder Judiciário,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,São José do Rio Preto,Fórum de Rio Preto, Fórum de Rio Preto,0101000020E6100000641519B9E9B048C0E45828E329D034C0,-20.813139149999998,-49.38213266110213
167,262,Atuação do Poder Judiciário,Crimes contra a honra (CP),Injúria simples,SÃO PAULO,São José do Rio Preto,Fórum de Rio Preto, Fórum de Rio Preto,0101000020E6100000641519B9E9B048C0E45828E329D034C0,-20.813139149999998,-49.38213266110213
168,265,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,Jardim Panamericano,Jardim Panamericano,0101000020E6100000BADE1CA6635D47C0889A8D3ADF7337C0,-23.45262495,-46.729603542420094
169,268,Abordagem policial,Crimes contra a vida (CP),Homicídio simples,SÃO PAULO,São Paulo,Santo Amaro,Santo Amaro,0101000020E61000008F05E0FA0B5C47C0EF247DB5FEA737C0,-23.6562303,-46.7191156
170,269,Abordagem policial,Crimes contra a honra (CP),Injúria real,SÃO PAULO,São Paulo,Freguesia do Ó, Freguesia do Ó,0101000020E6100000D9F45613FA5847C08DFD1B6ACA7C37C0,-23.4874636,-46.6951317
171,269,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ofensa à honra ou ao patrimônio,SÃO PAULO,São Paulo,Freguesia do Ó, Freguesia do Ó,0101000020E6100000D9F45613FA5847C08DFD1B6ACA7C37C0,-23.4874636,-46.6951317
172,280,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,Centro,região central,0101000020E6100000FC8846A64C7447C085FF2084CDE535C0,-21.897667177253897,-46.90858915752503
173,287,Abordagem policial,Crimes contra a administração da justiça (CP),Denunciar crime contra pessoa que sabe ser inocente,SÃO PAULO,São Paulo,Zona Leste, zona leste ,0101000020E6100000CAF0E9FBBAAE47C0C9A4D0C31ABE36C0,-22.7425959,-47.3650813
174,287,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Encarceramento de forma ilegal ou com abuso de poder,SÃO PAULO,São Paulo,Zona Leste, zona leste ,0101000020E6100000CAF0E9FBBAAE47C0C9A4D0C31ABE36C0,-22.7425959,-47.3650813
175,287,Abordagem policial,Crimes contra a liberdade sexual (CP),Estupro,SÃO PAULO,São Paulo,Zona Leste, zona leste ,0101000020E6100000CAF0E9FBBAAE47C0C9A4D0C31ABE36C0,-22.7425959,-47.3650813
176,288,Operação policial,Crimes de perigo comum (CP),Explosão,SÃO PAULO,Ribeirão Preto,,,0101000020E61000002CA116DE40E747C02DCC423BA72D35C0,-21.178333,-47.8066671
177,290,Abordagem policial,Crimes contra a vida (CP),Homicídio qualificado,SÃO PAULO,Lavínia,,,0101000020E6100000E6DF7888908549C02142B7F2ED2A35C0,-21.1676933,-51.0434733
178,293,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Itaquaquecetuba,Rua Oscar Ferreira dos Santos," Rua Oscar Ferreira dos Santos, na região central ",0101000020E6100000FF2268CC242D47C0D9B11188D77937C0,-23.475945,-46.3526855
179,301,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Franco da Rocha,,,0101000020E6100000E8DB82A5BA5C47C00AFC3CA1325537C0,-23.3328038,-46.724446
180,306,Operação policial - Infiltração de agente,Crimes de tortura (Lei 9.455/1997),Constrangimento com emprego de violência ou grave ameaça que causa sofrimento físico ou mental,SÃO PAULO,Mauá,Casa Abrigo Mauá,Casa Abrigo Mauá,0101000020E6100000E40EF1350F3E47C08ADF5EE3449837C0,-23.594801150000002,-46.48483919401568
181,306,Operação policial - Infiltração de agente,Abuso de autoridade do ECA (Lei 8.069/1990),Humilhar ou intimidar criança ou adolescente,SÃO PAULO,Mauá,Casa Abrigo Mauá,Casa Abrigo Mauá,0101000020E6100000E40EF1350F3E47C08ADF5EE3449837C0,-23.594801150000002,-46.48483919401568
182,313,Operação policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,"Rua Cenno Sbrighi, 595, Água Branca"," Rua Cenno Sbrighi, 595, na região da Água Branca",0101000020E61000000B79A97DDF5847C0D6C4025FD18337C0,-23.5149135,-46.6943204
183,315,Operação policial,Crimes contra a liberdade pessoal (CP),Ameaça,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
184,322,Abordagem policial,Crimes contra a administração em geral (CP),Concussão,SÃO PAULO,Franca,Delegacia de Policia de Franca,Delegacia de Policia de Franca,0101000020E6100000F48E5374A4BD47C03E9E4C929D4234C0,-20.26021685,-47.481581250000005
185,324,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Osasco,Jardim Rochdale,Jardim Rochdale - Osasco,0101000020E610000042E1FD028B6347C08A2540A8E68137C0,-23.5074258,-46.7776798
