,NUM_BO,RUBRICA,ANO,MES,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE
404666,2113,Roubo (art. 157),2016,6,S.PAULO                                 ,RUA DO ACRE                             ,500,-23.55853938,-46.58103471
464286,4241,"Furto qualificado (art. 155, §4o.)",2016,8,S.PAULO                                 ,RUA LINDOLFO COLOR                      ,147,-23.56591818,-46.52266765
168845,86126,Furto (art. 155),2016,1,S.PAULO                                 ,AVENIDA ITABERABA                       ,450,-23.48835287,-46.69346722
630206,2515,Roubo (art. 157),2016,7,S.PAULO                                 ,RUA FREI JOAO DO ROSARIO                ,800,-23.67092432,-46.66099255
373821,1991,Roubo (art. 157),2016,4,S.ANDRE                                 ,RUA SANTO ANDRÉ                         ,430,-23.66501903,-46.52600276
521430,9704,Roubo (art. 157),2016,9,S.PAULO                                 ,RUA AUGUSTO RODRIGUES                   ,682,-23.43470914,-46.57832495
257891,1812,Furto (art. 155),2016,9,S.PAULO                                 ,RUA ALMIRANTE ALEXANDRINO               ,602,-23.57075512,-46.56859926
412861,114188,Furto (art. 155),2016,1,S.PAULO                                 ,AVENIDA REBOUCAS                        ,0,-23.56424493,-46.67779007
586498,5178,Roubo (art. 157),2016,5,S.PAULO                                 ,AVENIDA OTAVIANO ALVES DE LIMA          ,3000,-23.50872134,-46.68649276
282107,2360,Roubo (art. 157),2016,7,OSASCO                                  ,RUA JOSÉ YOSHIE YAMAMOTO                ,0,-23.5679077,-46.79336187
208552,3785,Roubo (art. 157),2016,11,EMBU DAS ARTES                          ,RUA AVARÉ                               ,940,-23.68155705,-46.80225086
53589,1273,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,5,S.PAULO                                 ,RUA CANAPOLIS                           ,300,-23.4927941,-46.57940436
163083,1148527,Roubo (art. 157),2016,9,S.CAETANO DO SUL                        ,Rua: Manoel Pedro Vilaboim              ,164,-23.63294928,-46.55725727
396247,3483,Roubo (art. 157),2016,4,S.PAULO                                 ,RUA BERTOLINIA                          ,0,-23.54813449,-46.40441055
378760,5459,Furto (art. 155),2016,5,S.PAULO                                 ,AVENIDA SANTA MARINA                    ,0,-23.52397042,-46.68486801
336234,827,Roubo (art. 157),2016,5,DIADEMA                                 ,RUA SERRA DA BORBOREMA                  ,40,-23.67222481,-46.62484908
138553,1345,Furto (art. 155),2016,3,S.PAULO                                 ,RUA TRAIPU                              ,1000,-23.53932104,-46.66710106
388296,666442,Furto (art. 155),2016,5,S.PAULO                                 ,RUA ANTONIO GIL                         ,811,-23.66290927,-46.67039461
347557,1428,Roubo (art. 157),2016,4,S.PAULO                                 ,RUA DA CONSOLACAO                       ,1272,-23.55031868,-46.65444208
309406,1145322,Roubo (art. 157),2016,9,MAUA                                    ,AVENIDA MARECHAL AGOSTINHO DOS SANTOS   ,464,-23.66121122,-46.43706523
698660,6652,Furto (art. 155),2016,8,S.PAULO                                 ,AVENIDA INTERCONTINENTAL                ,212,-23.60373614,-46.75053732
189768,1108130,Furto (art. 155),2016,8,S.PAULO                                 ,AVENIDA DA LIBERDADE                    ,899,-23.56105136,-46.63837159
747831,4008,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,4,S.PAULO                                 ,AVENIDA ARICANDUVA                      ,12000,-23.59471622,-46.46610156
170525,1776,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,5,S.PAULO                                 ,RUA MAJOR LUCIO DIAS RAMOS              ,40,-23.77008243,-46.68145389
2450,1416972,Roubo (art. 157),2016,11,S.PAULO                                 ,RUA MANUEL RIBEIRO ROSA                 ,207,-23.48099362,-46.7214063
684239,459002,Furto (art. 155),2016,4,S.PAULO                                 ,RUA GUAIPA                              ,1110,-23.52132043,-46.73310623
389930,2568,Furto (art. 155),2016,4,S.PAULO                                 ,PRAÇA RAMOS DE AZEVEDO                  ,99,-23.54535502,-46.63917725
663200,2570,"Furto qualificado (art. 155, §4o.)",2016,6,S.PAULO                                 ,RUA DA BICA                             ,55,-23.50016952,-46.69817688
5014,1971,Furto (art. 155),2016,6,S.ANDRE                                 ,AVENIDA ALEXANDRE DE GUSMÃO             ,29,-23.66396683,-46.50952361
371381,493844,Furto (art. 155),2016,4,S.PAULO                                 ,AVENIDA PAULISTA                        ,1313,-23.56342528,-46.653991999999995
656680,1130,Lesão corporal (art. 129),2016,7,MOGI DAS CRUZES                         ,AVENIDA LOTHAR WALDEMAR HOEHNE          ,257,-23.50862783,-46.20039829
125603,2332,Furto (art. 155),2016,4,S.PAULO                                 ,RUA VALENTIM NICOLAI                    ,1,-23.60120635,-46.79747956
735883,6922,A.I.-Estupro de vulneravel (art.217-A),2016,12,S.PAULO                                 ,RUA CORIOLANO                           ,0,-23.52616314,-46.68543334
299624,541367,Furto (art. 155),2016,4,GUARULHOS                               ,RUA BRÁULIO GUEDES                      ,24,-23.46420472,-46.54565496
379347,6179,Roubo (art. 157),2016,6,S.PAULO                                 ,RUA GUIRATINGA                          ,1187,-23.61076404,-46.633575
205184,614807,Furto (art. 155),2016,5,S.PAULO                                 ,ESTAÇÃO TREM LUZ                        ,0,-23.53533,-46.63412
14283,11095,Furto (art. 155),2016,12,S.PAULO                                 ,RUA MONTES AUREOS                       ,259,-23.52722403,-46.52292134
71667,992859,Roubo (art. 157),2016,5,S.PAULO                                 ,LARGO SAO BENTO                         ,0,-23.54389606,-46.63445976
502484,7780,Roubo (art. 157),2016,8,S.PAULO                                 ,RUA FEITICO DA VILA                     ,1050,-23.68552209,-46.80011876
601982,539043,Furto (art. 155),2016,4,S.PAULO                                 ,ESTAÇÃO METRO LUZ                       ,0,-23.53592604,-46.63431206
